TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,PLAYER_NAME
1610612766,CHA,2024-03-01T00:00:00,8,4,4,0.5,158.52833333333334,26,59,0.441,9,28,0.321,11,12,0.917,3,13,16,14,5,5,3,4,7,9,72,-25,131.2,0,0,127.0,10,10,4,10,10,10,10,9,10,10,11,10,10,2,10,10,10,10,10,10,7,4,4,10,10,10,10,4,1,10,Seth Curry
1610612742,DAL,2024-01-31T00:00:00,36,21,15,0.583,456.885,54,145,0.372,29,80,0.363,17,19,0.895,15,37,52,30,16,17,3,5,32,19,154,85,305.4,0,0,305.0,8,7,6,8,9,9,9,10,9,9,10,9,9,4,5,9,8,9,9,8,7,6,5,9,9,5,9,4,1,9,Seth Curry
1610612744,GSW,2024-04-02T00:00:00,69,40,29,0.58,2254.373333333333,605,1354,0.447,332,821,0.404,279,302,0.924,36,264,300,347,195,50,24,48,109,253,1821,153,2728.5,7,0,2948.0,8,9,12,9,9,8,6,13,4,2,13,6,6,3,10,10,11,12,10,13,2,11,3,7,7,10,10,10,6,8,Stephen Curry
1610612740,NOP,2024-04-01T00:00:00,54,30,24,0.556,1174.7416666666666,117,267,0.438,33,115,0.287,32,50,0.64,56,145,201,143,53,76,21,11,88,38,299,95,992.7,1,0,870.0,2,2,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,Dyson Daniels
1610612764,WAS,2024-04-02T00:00:00,45,8,37,0.178,515.635,48,134,0.358,8,33,0.242,10,17,0.588,18,47,65,25,8,15,9,10,43,18,114,-110,293.5,0,0,260.0,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,1,2,Johnny Davis
1610612738,BOS,2024-03-22T00:00:00,6,6,0,1.0,11.443333333333332,2,3,0.667,2,3,0.667,2,2,1.0,1,2,3,1,0,0,0,0,1,1,8,8,13.1,0,0,14.0,2,2,1,1,2,2,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,JD Davison
1610612742,DAL,2023-12-23T00:00:00,4,1,3,0.25,29.866666666666667,10,19,0.526,1,8,0.125,1,3,0.333,1,8,9,4,3,0,1,0,1,3,22,-9,38.8,0,0,38.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Dexter Dennis
1610612752,NYK,2024-04-02T00:00:00,74,44,30,0.595,2076.173333333333,397,902,0.44,255,640,0.398,76,103,0.738,58,205,263,194,100,100,32,29,155,110,1125,119,2027.6,0,0,2101.0,1,2,6,5,1,1,1,2,1,1,1,1,1,5,4,4,4,3,2,1,1,6,7,2,1,4,1,4,1,1,Donte DiVincenzo
1610612746,LAC,2024-03-01T00:00:00,11,7,4,0.636,64.23833333333333,10,19,0.526,0,0,0.0,9,14,0.643,15,9,24,4,2,5,1,3,4,10,29,-2,79.8,0,0,69.0,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,Moussa Diabate
1610612760,OKC,2024-03-20T00:00:00,31,19,12,0.613,341.62,43,104,0.413,20,67,0.299,14,16,0.875,10,40,50,33,17,5,3,3,20,14,120,-1,236.5,0,0,239.0,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,Ousmane Dieng
1610612742,DAL,2024-04-02T00:00:00,66,42,24,0.636,2470.8416666666667,762,1558,0.489,262,687,0.381,454,581,0.781,54,551,605,647,263,97,34,48,135,452,2240,249,4066.5,46,20,4016.0,2,2,2,2,1,1,1,2,1,1,1,2,2,1,4,1,1,1,3,1,3,3,1,3,1,2,1,1,1,1,Luka Doncic
1610612760,OKC,2024-04-02T00:00:00,73,50,23,0.685,2082.095,262,598,0.438,144,362,0.398,109,133,0.82,72,197,269,103,68,65,45,29,216,153,777,324,1516.3,0,0,1513.0,2,1,2,2,2,3,4,1,1,3,1,4,4,2,2,2,2,2,4,2,1,2,4,4,3,1,2,2,1,2,Luguentz Dort
1610612758,SAC,2024-04-02T00:00:00,55,33,22,0.6,698.3633333333333,79,203,0.389,43,121,0.355,26,33,0.788,26,76,102,42,24,28,8,11,75,46,227,-72,496.4,0,0,486.0,1,1,1,1,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,2,3,1,2,3,3,2,3,1,1,3,Chris Duarte
1610612762,UTA,2024-04-02T00:00:00,65,25,40,0.385,1225.5766666666666,144,308,0.468,41,110,0.373,18,27,0.667,49,139,188,253,78,67,28,18,132,30,347,9,1159.1,1,0,1019.0,2,2,7,1,5,4,5,2,2,3,2,6,6,7,1,5,2,3,4,5,2,4,4,6,4,1,3,4,1,3,Kris Dunn
1610612756,PHX,2024-04-01T00:00:00,68,39,29,0.574,2525.701666666667,686,1300,0.528,153,364,0.42,342,400,0.855,37,422,459,350,227,62,88,44,119,339,1867,250,3165.8,14,1,3129.0,9,10,14,15,10,7,9,5,4,6,4,12,12,15,10,10,11,7,7,10,4,12,7,7,8,12,8,11,6,8,Kevin Durant
1610612750,MIN,2024-04-02T00:00:00,72,50,22,0.694,2538.083333333333,660,1430,0.462,172,480,0.358,383,461,0.831,47,353,400,369,225,92,41,54,129,303,1875,448,3082.5,9,0,3082.0,2,1,1,1,2,2,2,1,3,4,2,1,1,1,3,2,2,1,2,3,3,2,1,1,2,1,2,1,1,2,Anthony Edwards
1610612758,SAC,2024-04-02T00:00:00,49,30,19,0.612,246.90666666666667,31,74,0.419,18,47,0.383,4,8,0.5,9,30,39,11,3,8,4,5,24,12,84,-45,180.3,0,0,176.0,1,1,3,1,3,2,2,2,2,2,1,3,3,3,3,2,3,3,4,3,3,3,2,3,3,3,3,2,1,3,Kessler Edwards
1610612758,SAC,2024-04-02T00:00:00,50,31,19,0.62,795.2616666666667,79,174,0.454,50,127,0.394,21,30,0.7,25,77,102,70,26,42,24,5,91,39,229,129,628.4,0,0,583.0,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,Keon Ellis
1610612756,PHX,2024-04-01T00:00:00,69,38,31,0.551,1080.7983333333334,145,233,0.622,3,3,1.0,69,89,0.775,94,198,292,59,59,25,59,21,107,83,362,-98,993.9,0,0,884.0,2,1,4,3,2,2,2,4,3,4,1,3,3,3,2,2,2,2,2,2,2,7,6,4,2,5,2,5,1,2,Drew Eubanks
