Name,Position,Height,Weight,Last Attended,Country
Mfiondu Kabengele,Center,"'6'10""",250,Florida State,Canada
Edwin Kachan,Guard,"'6'2""",175,DePaul,USA
George Kaftan,Forward,"'6'3""",190,Holy Cross,USA
Ed Kalafat,Center,"'6'6""",245,Minnesota,USA
Georgios Kalaitzakis,Forward,"'6'7""",192,Panathinaikos,Greece
Chris Kaman,Center,"'7'0""",265,Central Michigan,USA
Frank Kaminsky,Forward-Center,"'7'0""",240,Wisconsin,USA
Ralph Kaplowitz,Guard,"'6'2""",170,New York University,USA
Jason Kapono,Forward,"'6'8""",215,UCLA,USA
Tony Kappen,Guard,"'5'10""",165,Forest Hills HS (NY),USA
Sergey Karasev,Guard-Forward,"'6'7""",208,Zenit Saint Petersburg,Russia
Coby Karl,Guard,"'6'5""",215,Boise State,USA
George Karl,Guard,"'6'2""",185,North Carolina,USA
Ed Kasid,Guard,"'5'11""",185,Minneapolis Vocational HS (MN),USA
Mario Kasun,Center,"'7'1""",260,Skyliners Frankfurt,Croatia
Leo Katkaveck,Guard,"'6'0""",185,North Carolina State,USA
Bob Kauffman,Forward,"'6'8""",240,Guilford,USA
Sasha Kaun,Center,"'6'11""",260,Kansas,Russia
Wilbert Kautz,Guard,"'5'11""",180,Loyola-Chicago,USA
Clarence Kea,Forward,"'6'6""",218,Lamar,USA
Michael Kearns,Guard,"'6'2""",178,Princeton,USA
Tommy Kearns,Guard,"'5'11""",185,North Carolina,USA
Adam Keefe,Forward,"'6'9""",230,Stanford,USA
Harold Keeling,Guard,"'6'4""",185,Santa Clara,USA
Trevor Keels,Guard,"'6'4""",221,Duke,USA
Ken Keller,,',,St. John's (NY),USA
Rich Kelley,Center,"'7'0""",235,Stanford,USA
Clark Kellogg,Forward,"'6'7""",225,Ohio State,USA
Gerard Kelly,Forward,"'6'2""",172,Marshall,USA
Ryan Kelly,Forward,"'6'11""",230,Duke,USA
Tom Kelly,Guard,"'6'0""",170,New York University,USA
Greg Kelser,Forward,"'6'7""",190,Michigan State,USA
Ben Kelso,Guard,"'6'3""",195,Central Michigan,USA
Shawn Kemp,Forward,"'6'10""",280,Concord HS (IN),USA
Tim Kempton,Center,"'6'10""",245,Notre Dame,USA
Frank Kendrick,Forward,"'6'6""",198,Purdue,USA
Luke Kennard,Guard,"'6'5""",206,Duke,USA
D.J. Kennedy,Guard-Forward,"'6'5""",214,St. John's (NY),USA
Eugene Kennedy,Forward,"'6'5""",205,TCU,USA
Joe Kennedy,Forward,"'6'6""",210,Duke,USA
William Kennedy,Guard,"'5'11""",180,Temple,USA
Larry Kenon,Forward,"'6'9""",205,Memphis,USA
Bill Kenville,Guard,"'6'2""",187,St. Bonaventure,USA
Jonathan Kerner,Center,"'6'11""",245,East Carolina,USA
Johnny Kerr,Center,"'6'9""",230,Illinois,USA
Steve Kerr,Guard,"'6'1""",180,Arizona,USA
Jack Kerris,Forward,"'6'6""",215,Loyola-Chicago,USA
Jerome Kersey,,',,Longwood,USA
Alec Kessler,Forward,"'6'11""",230,Georgia,USA
Walker Kessler,Center,"'7'0""",245,Auburn,USA
Lari Ketner,Forward,',,Massachusetts,USA
Braxton Key,Forward,"'6'8""",225,Virginia,USA
Randolph Keys,Forward,"'6'7""",210,Southern Mississippi,USA
Viktor Khryapa,,',,CSKA Moscow,Russia
Jason Kidd,Guard,"'6'4""",210,California,USA
Stanton Kidd,Forward,"'6'6""",216,Colorado State,USA
Warren Kidd,Forward,"'6'9""",235,Middle Tennessee State,USA
Michael Kidd-Gilchrist,Forward,"'6'6""",232,Kentucky,USA
Irv Kiffin,Forward,"'6'9""",225,Oklahoma Baptist,USA
Jack Kiley,Guard,"'6'1""",170,Syracuse,USA
Ernie Killum,Guard,"'6'3""",180,Stetson,USA
Carl Kilpatrick,Center,"'6'10""",230,Louisiana-Monroe,USA
Sean Kilpatrick,Guard,"'6'4""",212,Cincinnati,USA
Toby Kimball,Forward,"'6'6""",220,Connecticut,USA
Bo Kimble,Guard,"'6'4""",190,Loyola-Marymount,USA
Stan Kimbrough,Forward,"'5'11""",153,Xavier,USA
Chad Kinch,Guard,"'6'4""",190,North Carolina-Charlotte,USA
Albert King,Forward,"'6'6""",190,Maryland,USA
Bernard King,Forward,"'6'7""",205,Tennessee,USA
Chris King,Forward,"'6'8""",215,Wake Forest,USA
Dan King,Forward,"'6'6""",220,Western Kentucky,USA
Frankie King,Guard,"'6'1""",185,Western Carolina,USA
George King,Guard,"'6'0""",175,University of Charleston,USA
George King,Forward-Guard,"'6'6""",220,University of Colorado Boulder,USA
Gerard King,Forward,',,Nicholls State,USA
Jim King,Guard,"'6'2""",175,Tulsa,USA
Jimmy King,Guard,"'6'5""",210,Michigan,USA
Louis King,Forward,"'6'7""",205,Oregon,USA
Maury King,Guard,"'6'2""",195,Kansas,USA
Reggie King,Forward,"'6'6""",225,Alabama,USA
Rich King,Center,"'7'2""",260,Nebraska,USA
Stacey King,Forward-Center,"'6'11""",250,Oklahoma,USA
Tom King,Guard,"'6'0""",165,Michigan,USA
Bob Kinney,Center,"'6'6""",215,Rice,USA
Tarence Kinsey,Guard,"'6'6""",189,South Carolina,USA
Andrei Kirilenko,Forward,"'6'9""",235,CSKA Moscow,Russia
Alex Kirk,Center,"'7'0""",245,New Mexico,USA
Walt Kirk,Guard,"'6'3""",173,Illinois,USA
Corey Kispert,Forward,"'6'6""",224,Gonzaga,USA
Doug Kistler,Forward,"'6'9""",210,Duke,USA
Curtis Kitchen,Forward,"'6'9""",235,South Florida,USA
Greg Kite,Center,"'6'11""",250,Brigham Young,USA
Kerry Kittles,Guard,"'6'5""",185,Villanova,USA
Maxi Kleber,Forward,"'6'10""",240,Bayern Munich,Germany
Joe Kleine,Center,"'6'11""",255,Arkansas,USA
Linas Kleiza,Forward,"'6'8""",234,Missouri,Lithuania
Leo Klier,Guard,"'6'2""",170,Notre Dame,USA
Herm Klotz,Guard,"'5'7""",150,Villanova,USA
Duane Klueh,Guard,"'6'3""",175,Indiana State,USA
Billy Knight,Forward,"'6'6""",195,Pittsburgh,USA
Bob Knight,Guard-Forward,"'6'2""",185,Weaver HS (CT),USA
Brandin Knight,Guard,"'6'0""",180,Pittsburgh,USA
Brandon Knight,Guard,"'6'2""",182,Kentucky,USA
Brevin Knight,Guard,"'5'10""",166,Stanford,USA
Nathan Knight,Forward-Center,"'6'8""",253,William & Mary,USA
Negele Knight,Guard,"'6'1""",175,Dayton,USA
Ron Knight,Forward,"'6'7""",215,California State-Los Angeles,USA
Toby Knight,Forward,"'6'9""",210,Notre Dame,USA
Travis Knight,Center,"'7'0""",235,Connecticut,USA
Lee Knorek,Center,"'6'7""",215,Detroit,USA
Dick Knostman,Center,"'6'6""",215,Kansas State,USA
Rod Knowles,Center,"'6'9""",215,Davidson,USA
Kevin Knox II,Forward,"'6'7""",215,Kentucky,USA
Bart Kofoed,Forward,"'6'4""",210,Nebraska-Kearney,USA
Don Kojis,Forward,"'6'3""",202,Marquette,USA
Christian Koloko,Center,"'7'0""",230,Arizona,Cameroon
Milo Komenich,Center,"'6'7""",212,Wyoming,USA
Howard Komives,Guard,"'6'1""",185,Bowling Green,USA
Jon Koncak,Center,"'7'0""",250,Southern Methodist,USA
John Konchar,Guard,"'6'5""",210,Indiana-Purdue Fort Wayne,USA
Bud Koper,Guard,"'6'6""",210,Oklahoma City,USA
Joe Kopicki,Forward,"'6'9""",240,Detroit,USA
Furkan Korkmaz,Guard-Forward,"'6'7""",202,Anadolu Efes,Turkey
Frank Kornet,Forward,"'6'9""",225,Vanderbilt,USA
Luke Kornet,Center-Forward,"'7'1""",250,Vanderbilt,USA
Yaroslav Korolev,Forward,"'6'9""",203,CSKA Moscow,Russia
Kyle Korver,Guard-Forward,"'6'7""",212,Creighton,USA
Len Kosmalski,Center,"'6'11""",245,Tennessee,USA
Andy Kostecka,Forward,"'6'3""",203,Georgetown,USA
Harold Kottman,Center,"'6'8""",220,Culver-Stockton,USA
Kosta Koufos,Center,"'7'0""",245,Ohio State,USA
Tom Kozelko,Forward,"'6'8""",220,Toledo,USA
Arvid Kramer,Center,"'6'9""",220,Augustana (SD),USA
Barry Kramer,Forward,"'6'4""",200,New York University,USA
Joel Kramer,Forward,"'6'7""",203,San Diego State,USA
Dan Kraus,Guard,"'6'0""",195,Georgetown,USA
Herb Krautblatt,Guard,"'6'1""",190,Rider,USA
Viacheslav Kravtsov,Center,"'6'11""",254,Donetsk,Ukraine
Jim Krebs,Center,"'6'8""",230,Southern Methodist,USA
Vit Krejci,Guard,"'6'8""",195,Zaragoza,Czech Republic
Wayne Kreklow,Guard,"'6'4""",175,Drake,USA
Tom Kron,Guard,"'6'5""",200,Kentucky,USA
Tom Kropp,Guard,"'6'3""",205,Nebraska-Kearney,USA
Nenad Krstic,Center,"'7'0""",240,Partizan,Serbia
Larry Krystkowiak,Forward,"'6'9""",220,Montana,USA
Steve Kuberski,Forward,"'6'8""",215,Bradley,USA
Leo Kubiak,Guard,"'5'11""",160,Bowling Green,USA
Bruce Kuczenski,Forward,"'6'10""",230,Connecticut,USA
Frank Kudelka,Guard,"'6'2""",193,Saint Mary's,USA
John Kuester,Guard,"'6'2""",180,North Carolina,USA
Ray Kuka,Forward,"'6'3""",200,Notre Dame,USA
Toni Kukoc,Forward,"'6'11""",235,Benetton Treviso,Croatia
Arnoldas Kulboka,Forward,"'6'10""",209,Bilbao,Lithuania
Jonathan Kuminga,Forward,"'6'7""",225,NBA G League Ignite,DRC
Kevin Kunnert,Center,"'7'0""",230,Iowa,USA
Mitch Kupchak,Forward,"'6'9""",230,North Carolina,USA
Charles Kupec,Center,"'6'6""",220,Michigan,USA
Rodions Kurucs,Forward,"'6'9""",228,FC Barcelona,Latvia
Rob Kurz,Forward,"'6'9""",232,Notre Dame,USA
Ibrahim Kutluay,Guard,"'6'6""",200,Ulkerspor,Turkey
Kyle Kuzma,Forward,"'6'9""",221,Utah,USA
Ognjen Kuzmic,Center,"'7'0""",260,Malaga,Serbia
Mindaugas Kuzminskas,Forward,"'6'9""",215,Malaga,Lithuania
Fred LaCour,Guard,"'6'5""",210,San Francisco,USA
Raef LaFrentz,Center-Forward,"'6'11""",240,Kansas,USA
Tom LaGarde,Center,"'6'10""",220,North Carolina,USA
Jake LaRavia,Forward,"'6'7""",235,Wake Forest,USA
Rusty LaRue,Guard,"'6'3""",185,Wake Forest,USA
Rudy LaRusso,Forward,"'6'8""",220,Dartmouth,USA
Zach LaVine,Guard,"'6'5""",200,UCLA,USA
Skal Labissiere,Forward-Center,"'6'10""",235,Kentucky,Haiti
Sam Lacey,Center,"'6'10""",235,New Mexico State,USA
Christian Laettner,Forward-Center,"'6'11""",245,Duke,USA
Oliver Lafayette,Guard,"'6'2""",190,Houston,USA
Bill Laimbeer,Center,"'6'11""",245,Notre Dame,USA
Pete Lalich,Forward,"'6'2""",190,Ohio,USA
Bo Lamar,Guard,"'6'1""",180,Louisiana-Lafayette,USA
Anthony Lamb,Forward,"'6'6""",227,Vermont,USA
Doron Lamb,Guard,"'6'4""",200,Kentucky,USA
Jeremy Lamb,Guard-Forward,"'6'5""",180,Connecticut,USA
John Lambert,Center,"'6'10""",225,Southern California,USA
Jeff Lamp,Guard,"'6'6""",195,Virginia,USA
Maciej Lampe,Forward,"'6'11""",275,Real Madrid,Poland
Jim Lampley,Forward,"'6'10""",230,Arkansas-Little Rock,USA
Sean Lampley,Forward,"'6'6""",213,California,USA
Jock Landale,Center,"'6'11""",255,St. Mary's,Australia
Carl Landry,Forward,"'6'9""",248,Purdue,USA
Marcus Landry,Forward,"'6'7""",230,Wisconsin,USA
Mark Landsberger,Forward,"'6'8""",215,Arizona State,USA
Jerome Lane,Forward,"'6'6""",230,Pittsburgh,USA
Andrew Lang,Center,"'6'11""",275,Arkansas,USA
Antonio Lang,Forward,"'6'8""",205,Duke,USA
James Lang,Center,"'6'10""",305,Central Park Christian HS (AL),USA
Trajan Langdon,,',,Duke,USA
Keith Langford,Guard,"'6'4""",215,Kansas,USA
Romeo Langford,Guard-Forward,"'6'5""",216,Indiana,USA
Dan Langhi,Forward,"'6'11""",220,Vanderbilt,USA
Bob Lanier,Center,"'6'11""",250,St. Bonaventure,USA
Stu Lantz,Guard,"'6'3""",175,Nebraska,USA
Nicolas Laprovittola,Guard,"'6'4""",180,Estudiantes,Argentina
York Larese,Guard,"'6'4""",183,North Carolina,USA
Shane Larkin,Guard,"'5'11""",175,Miami,USA
John Laskowski,Guard,"'6'6""",185,Indiana,USA
Stephane Lasme,Forward,"'6'8""",215,Massachusetts,Gabon
Dave Lattin,Forward,"'6'6""",225,Texas-El Paso,USA
Priest Lauderdale,Center,"'7'4""",325,Peristeri,USA
Rich Laurel,Guard,"'6'6""",190,Hofstra,USA
Walt Lautenbach,Forward,"'6'2""",185,Wisconsin,USA
Joffrey Lauvergne,Center,"'6'11""",260,Khimki,France
Tony Lavelli,Forward,"'6'3""",185,Yale,USA
Bob Lavoy,Forward,"'6'7""",185,Western Kentucky,USA
Acie Law,Guard,"'6'3""",202,Texas A&M,USA
Vic Law,Forward,"'6'7""",201,Northwestern,USA
Gani Lawal,Forward,"'6'9""",234,Georgia Tech,USA
Ed Lawrence,Center,"'6'11""",228,McNeese State,USA
A.J. Lawson,Guard,"'6'6""",179,South Carolina,Canada
Jason Lawson,Center,"'6'11""",240,Villanova,USA
Ty Lawson,Guard,"'5'11""",195,North Carolina,USA
Jake Layman,Forward,"'6'8""",209,Maryland,USA
Dennis Layton,Guard,"'6'1""",180,Southern California,USA
Caris LeVert,Guard,"'6'6""",205,Michigan,USA
T.J. Leaf,Forward,"'6'10""",222,UCLA,USA
Emanuel Leaks,Center,"'6'8""",225,Niagara,USA
Hal Lear,Guard,"'5'11""",163,Temple,USA
Allen Leavell,Guard,"'6'1""",170,Oklahoma City,USA
Jeff Lebo,Forward,"'6'2""",180,North Carolina,USA
Eric Leckner,Center,"'6'11""",265,Wyoming,USA
Jalen Lecque,Guard,"'6'4""",185,Brewster Academy (NH),USA
Ricky Ledo,Guard,"'6'7""",195,Providence,USA
Butch Lee,Guard,"'6'0""",185,Marquette,USA
Clyde Lee,Forward,"'6'10""",205,Vanderbilt,USA
Courtney Lee,Guard,"'6'5""",215,Western Kentucky,USA
Damion Lee,Guard-Forward,"'6'6""",210,Drexel,USA
David Lee,Forward-Center,"'6'9""",245,Florida,USA
Doug Lee,Guard,"'6'5""",200,Purdue,USA
George Lee,Forward,"'6'4""",200,Michigan,USA
Greg Lee,Guard,"'6'3""",190,UCLA,USA
Keith Lee,Forward,"'6'10""",215,Memphis,USA
Kurk Lee,Guard,"'6'3""",190,Towson,USA
Malcolm Lee,Guard,"'6'5""",200,UCLA,USA
Rock Lee,Center,"'6'10""",220,San Diego State,USA
Ron Lee,Guard,"'6'3""",193,Oregon,USA
Russell Lee,Forward,"'6'5""",185,Marshall,USA
Saben Lee,Guard,"'6'2""",183,Vanderbilt,USA
Ed Leede,Guard,"'6'3""",185,Dartmouth,USA
Hank Lefkowitz,Forward,"'6'2""",190,Case Western Reserve,USA
Tim Legler,Guard,"'6'4""",200,La Salle,USA
George Lehmann,Guard,"'6'0""",180,Campbell,USA
Walt Lemon Jr.,Guard,"'6'3""",180,Bradley,USA
Alex Len,Center,"'7'0""",250,Maryland,Ukraine
Voshon Lenard,Guard,"'6'4""",215,Minnesota,USA
Bob Leonard,Guard,"'6'3""",185,Indiana,USA
Gary Leonard,Center,"'7'1""",250,Missouri,USA
Kawhi Leonard,Forward,"'6'7""",225,San Diego State,USA
Meyers Leonard,Forward-Center,"'7'0""",260,Illinois,USA
Jim Les,Guard,"'5'11""",165,Bradley,USA
Travis Leslie,,',,Georgia,USA
Ronnie Lester,Guard,"'6'2""",175,Iowa,USA
Clifford Lett,Guard,"'6'3""",170,Florida,USA
Jon Leuer,Forward,"'6'10""",228,Wisconsin,USA
Andrew Levane,Forward,"'6'2""",190,St. John's (NY),USA
Lafayette Lever,Guard,"'6'3""",170,Arizona State,USA
Cliff Levingston,Forward,"'6'8""",210,Wichita State,USA
Bobby Lewis,Guard,"'6'3""",175,North Carolina,USA
Cedric Lewis,Forward,"'6'10""",235,Maryland,USA
Fred Lewis,Forward,"'6'2""",195,Eastern Kentucky,USA
Freddie Lewis,Guard,"'6'0""",175,Arizona State,USA
Grady Lewis,Forward,"'6'7""",215,Oklahoma,USA
Justin Lewis,Forward,"'6'7""",245,Marquette,USA
Martin Lewis,Forward,"'6'6""",225,Seward County CC,USA
Maxwell Lewis,Forward,"'6'7""",195,Pepperdine,USA
Quincy Lewis,Guard-Forward,"'6'7""",215,Minnesota,USA
Ralph Lewis,Guard,"'6'6""",200,La Salle,USA
Rashard Lewis,Forward,"'6'10""",235,Elsik HS (TX),USA
Reggie Lewis,Guard,"'6'7""",195,Northeastern,USA
Scottie Lewis,Guard,"'6'5""",185,Florida,USA
Kira Lewis Jr.,Guard,"'6'1""",170,Alabama,USA
Marcus Liberty,Forward,"'6'8""",205,Illinois,USA
Todd Lichti,Guard,"'6'4""",205,Stanford,USA
E.J. Liddell,Forward,"'6'6""",240,Ohio State,USA
DeAndre Liggins,Guard,"'6'6""",209,Kentucky,USA
Bill Ligon,Guard,"'6'4""",180,Vanderbilt,USA
Damian Lillard,Guard,"'6'2""",195,Weber State,USA
Jeremy Lin,Guard,"'6'3""",200,Harvard,USA
Steve Lingenfelter,Forward,"'6'9""",225,South Dakota State,USA
Alton Lister,Center-Forward,"'7'0""",245,Arizona State,USA
Nassir Little,Forward-Guard,"'6'6""",220,North Carolina,USA
Dereck Lively II,Center,"'7'1""",230,Duke,USA
Isaiah Livers,Forward,"'6'6""",232,Michigan,USA
Chris Livingston,Forward,"'6'6""",220,Kentucky,USA
Randy Livingston,Guard,"'6'4""",209,Louisiana State,USA
Shaun Livingston,Guard,"'6'7""",192,Peoria Central HS (IL),USA
Ron Livingstone,Center,"'6'10""",220,Wyoming,USA
Horacio Llamas,Center,"'6'11""",285,Grand Canyon,USA
Earl Lloyd,Forward,"'6'6""",200,West Virginia State,USA
Lewis Lloyd,Guard,"'6'6""",205,Drake,USA
Scott Lloyd,Center,"'6'10""",230,Arizona State,USA
Bob Lochmueller,Forward,"'6'5""",185,Louisville,USA
Robert Lock,Forward,"'6'9""",225,Kentucky,USA
Darrell Lockhart,Forward,"'6'9""",245,Auburn,USA
Ian Lockhart,Forward,"'6'8""",240,Tennessee,USA
Kevin Loder,Forward,"'6'6""",205,Alabama State,USA
Don Lofgran,Forward,"'6'5""",200,San Francisco,USA
Zach Lofton,Guard,"'6'4""",180,New Mexico State,USA
Kenneth Lofton Jr.,Forward,"'6'6""",275,Louisiana Tech,USA
Johnny Logan,Guard,"'6'2""",175,Indiana,USA
Brad Lohaus,Forward-Center,"'6'11""",230,Iowa,USA
Art Long,Forward,"'6'9""",250,Cincinnati,USA
Grant Long,Forward,"'6'9""",240,Eastern Michigan,USA
John Long,Guard,"'6'5""",200,Detroit,USA
Paul Long,Guard,"'6'2""",180,Wake Forest,USA
Shawn Long,Forward,"'6'9""",255,Louisiana-Lafayette,USA
Luc Longley,Center,',,New Mexico,USA
Kevon Looney,Forward,"'6'9""",222,UCLA,USA
Brook Lopez,Center,"'7'1""",282,Stanford,USA
Felipe Lopez,Guard-Forward,"'6'5""",195,St. John's (NY),Dominican Republic
Raul Lopez,Guard,"'6'0""",175,Real Madrid,Spain
Robin Lopez,Center,"'7'1""",281,Stanford,USA
Ryan Lorthridge,Guard,"'6'4""",190,Jackson State,USA
Jim Loscutoff,Forward,"'6'5""",220,Oregon,USA
Plummer Lott,Forward,"'6'5""",210,Seattle,USA
Kevin Loughery,Guard,"'6'3""",190,St. John's (NY),USA
Didi Louzada,Guard,"'6'5""",188,Sydney,Brazil
Bob Love,Forward,"'6'8""",215,Southern,USA
Kevin Love,Forward-Center,"'6'8""",251,UCLA,USA
Stan Love,Forward,"'6'9""",215,Oregon,USA
Clyde Lovellette,Center,"'6'9""",234,Kansas,USA
Sidney Lowe,Guard,"'6'0""",195,North Carolina State,USA
Chuck Lowery,Guard,"'6'3""",185,Puget Sound,USA
Kyle Lowry,Guard,"'6'0""",196,Villanova,USA
Jordan Loyd,Guard,"'6'4""",210,Indianapolis,USA
Al Lucas,Forward,"'6'3""",195,Fordham,USA
Jerry Lucas,Forward,"'6'8""",230,Ohio State,USA
John Lucas,Guard,"'6'3""",175,Maryland,USA
Kalin Lucas,Guard,"'6'1""",195,Michigan State,USA
Maurice Lucas,Forward,"'6'9""",215,Marquette,USA
John Lucas III,Guard,"'5'11""",166,Oklahoma State,USA
Ted Luckenbill,Forward,"'6'6""",205,Houston,USA
Tyronn Lue,Guard,"'6'0""",175,Nebraska,USA
Jim Luisi,Guard,"'6'2""",180,St. Francis (NY),USA
Al Lujack,Forward,"'6'3""",220,Georgetown,USA
Phil Lumpkin,Guard,"'6'0""",165,Miami (Ohio),USA
Ray Lumpp,Guard,"'6'1""",178,New York University,USA
Gabriel Lundberg,Guard,"'6'4""",203,CSKA Moscow,Denmark
Seth Lundy,Guard-Forward,"'6'4""",220,Penn State,USA
Timothe Luwawu-Cabarrot,Guard-Forward,"'6'7""",215,Mega Basket,France
Tyler Lydon,Forward,"'6'10""",225,Syracuse,USA
Trey Lyles,Forward,"'6'9""",234,Kentucky,Canada
George Lynch,Forward,"'6'8""",235,North Carolina,USA
Kevin Lynch,Forward,"'6'5""",195,Minnesota,USA
Mike Lynn,Forward,"'6'7""",215,UCLA,USA
Sheldon Mac,Guard-Forward,"'6'6""",200,Miami,USA
Todd MacCulloch,Center,"'7'0""",280,Washington,Canada
Ronnie MacGilvray,Guard,"'6'2""",185,St. John's (NY),USA
Don MacLean,Forward,',,UCLA,USA
Mike Macaluso,Forward,"'6'5""",210,Canisius,USA
Ed Macauley,Center,"'6'8""",185,St. Louis,USA
Scott Machado,Guard,"'6'1""",205,Iona,USA
Arvydas Macijauskas,Guard,"'6'4""",214,Tau Ceramica,Lithuania
Ollie Mack,Guard,"'6'3""",185,East Carolina,USA
Sam Mack,Guard,',,Houston,USA
Shelvin Mack,Guard,"'6'3""",203,Butler,USA
Malcolm Mackey,Forward,"'6'9""",248,Georgia Tech,USA
Rudy Macklin,Forward,"'6'7""",205,Louisiana State,USA
Vernon Macklin,Forward,"'6'10""",227,Florida,USA
Johnny Macknowski,Guard,"'6'1""",180,Seton Hall,USA
Daryl Macon,Guard,"'6'2""",185,Arkansas,USA
Mark Macon,Guard,"'6'4""",185,Temple,USA
J.P. Macura,Guard,"'6'4""",203,Xavier,USA
Kyle Macy,Guard,"'6'3""",175,Kentucky,USA
Jack Maddox,Forward,"'6'2""",185,West Texas A&M,USA
Tito Maddox,Guard,"'6'4""",190,Fresno State,USA
Gerald Madkins,Guard,"'6'4""",200,UCLA,USA
Mark Madsen,Forward,"'6'9""",255,Stanford,USA
Norm Mager,Forward,"'6'5""",185,City College of New York,USA
Josh Magette,Guard,"'6'1""",160,Alabama Huntsville,USA
Corey Maggette,Forward,"'6'6""",225,Duke,USA
Dave Magley,Forward,"'6'8""",202,Kansas,USA
Jamaal Magloire,Center,"'6'11""",265,Kentucky,Canada
Will Magnay,Center,"'6'10""",234,Brisbane,Australia
Ian Mahinmi,Center,"'6'11""",262,Pau Orthez,France
John Mahnken,Center,"'6'8""",220,Georgetown,USA
Francis Mahoney,Forward,"'6'2""",205,Brown,USA
Rick Mahorn,Forward,"'6'10""",260,Hampton,USA
Dan Majerle,Guard-Forward,"'6'6""",222,Central Michigan,USA
Renaldo Major,Forward,"'6'7""",190,Fresno State,USA
Thon Maker,Forward-Center,"'7'0""",221,Athlete Institute Prep,South Sudan
Lionel Malamed,Guard,"'5'9""",150,City College of New York,USA
Theo Maledon,Guard,"'6'4""",175,Asvel,France
Jeff Malone,Guard,"'6'4""",205,Mississippi State,USA
Karl Malone,Forward,"'6'9""",259,Louisiana Tech,USA
Moses Malone,Center,"'6'10""",215,Petersburg HS (VA),USA
Matt Maloney,Guard,',,Pennsylvania,USA
Steve Malovic,Forward,"'6'10""",230,San Diego State,USA
Sandro Mamukelashvili,Forward-Center,"'6'9""",240,Seton Hall,Georgia
Ted Manakas,Guard,"'6'2""",180,Princeton,USA
John Mandic,Forward,"'6'4""",205,Oregon State,USA
Karim Mane,Guard,"'6'3""",190,Vanier,Senegal
Frank Mangiapane,Guard,"'5'10""",195,New York University,USA
Marcus Mann,Forward,"'6'8""",245,Mississippi Valley State,USA
Terance Mann,Guard-Forward,"'6'5""",215,Florida State,USA
Tre Mann,Guard,"'6'3""",178,Florida,USA
Danny Manning,Forward-Center,"'6'10""",234,Kansas,USA
Ed Manning,Forward,"'6'7""",210,Jackson State,USA
Richard Manning,Center,"'6'11""",245,Washington,USA
Nico Mannion,Guard,"'6'2""",190,Arizona,Italy
Pace Mannion,Guard,"'6'7""",190,Utah,USA
Nick Mantis,Guard,"'6'3""",190,Northwestern,USA
Pete Maravich,Guard,"'6'5""",197,Louisiana State,USA
Peter Maravich,Guard,"'6'0""",185,Davis & Elkins,USA
Devyn Marble,Forward,"'6'6""",200,Iowa,USA
Roy Marble,Guard,"'6'6""",190,Iowa,USA
Stephon Marbury,Guard,"'6'2""",205,Georgia Tech,USA
Sarunas Marciulionis,Guard,"'6'5""",200,Statyba,Lithuania
Saul Mariaschin,Guard,"'5'11""",165,Harvard,USA
Jack Marin,Forward,"'6'6""",200,Duke,USA
Shawn Marion,Guard-Forward,"'6'7""",228,UNLV,USA
Boban Marjanovic,Center,"'7'4""",290,Crvena zvezda,Serbia
Lauri Markkanen,Forward-Center,"'7'0""",240,Arizona,Finland
Damir Markota,Forward,"'6'10""",225,Cibona,Croatia
Sean Marks,Forward-Center,"'6'10""",250,California,New Zealand
Harvey Marlatt,Guard,"'6'3""",185,Eastern Michigan,USA
Eric Marsh,Guard,"'6'3""",200,Manhattan,USA
Jim Marsh,Forward,"'6'7""",215,Southern California,USA
Donny Marshall,Forward,"'6'7""",230,Connecticut,USA
Donyell Marshall,Forward,"'6'9""",245,Connecticut,USA
Kendall Marshall,Guard,"'6'4""",200,North Carolina,USA
Naji Marshall,Forward,"'6'6""",220,Xavier,USA
Rawle Marshall,Guard-Forward,"'6'7""",190,Oakland,USA
Tom Marshall,Forward,"'6'4""",215,Western Kentucky,USA
Vester Marshall,Forward,"'6'7""",200,Oklahoma,USA
Bill Martin,Forward,"'6'7""",205,Georgetown,USA
Bob Martin,Center,"'7'0""",250,Minnesota,USA
Brian Martin,Forward,"'6'9""",212,Kansas,USA
Caleb Martin,Forward,"'6'5""",205,Nevada,USA
Cartier Martin,Forward,"'6'7""",220,Kansas State,USA
Cody Martin,Forward,"'6'6""",205,Nevada,USA
Cuonzo Martin,Guard,"'6'5""",213,Purdue,USA
Darrick Martin,Guard,"'5'11""",170,UCLA,USA
Don Martin,Center,"'6'7""",210,Central Missouri,USA
Donald Martin,Guard,"'5'8""",160,Georgetown,USA
Fernando Martin,Center,"'6'9""",220,Real Madrid,Spain
Jarell Martin,Forward,"'6'10""",239,Louisiana State,USA
Jeff Martin,Guard,"'6'5""",195,Murray State,USA
Jeremiah Martin,Guard,"'6'2""",185,Memphis,USA
KJ Martin,Forward,"'6'6""",215,IMG Academy (FL),USA
Kelan Martin,Forward,"'6'5""",230,Butler,USA
Kenyon Martin,Forward,"'6'9""",225,Cincinnati,USA
Kevin Martin,Guard,"'6'7""",199,Western Carolina,USA
Larue Martin,Center,"'6'11""",208,Loyola-Chicago,USA
Mo Martin,Guard,"'6'6""",200,St. Joseph's (PA),USA
Phil Martin,Guard,"'6'3""",190,Toledo,USA
Ronald Martin,Guard,"'6'2""",185,St. Bonaventure,USA
Slater Martin,Guard,"'5'10""",170,Texas,USA
