Name,Position,Height,Weight,Last Attended,Country
Dick Barnett,Guard,"'6'4""",190,Tennessee State,USA
Jim Barnett,Guard,"'6'4""",170,Oregon,USA
John Barnhill,Guard,"'6'1""",180,Tennessee State,USA
Norton Barnhill,Guard,"'6'4""",205,Washington State,USA
Leo Barnhorst,Forward,"'6'4""",190,Notre Dame,USA
John Barr,Forward,"'6'3""",205,Penn State,USA
Mike Barr,Guard,"'6'3""",180,Duquesne,USA
Thomas Barr,Guard,"'6'4""",195,Duquesne,USA
Andre Barrett,Guard,"'5'10""",173,Seton Hall,USA
Ernie Barrett,,',,Kansas State,USA
RJ Barrett,Forward-Guard,"'6'6""",214,Duke,Canada
Earl Barron,Forward-Center,"'7'0""",250,Memphis,USA
Dana Barros,Guard,"'5'11""",165,Boston College,USA
Brent Barry,Guard,"'6'7""",210,Oregon State,USA
Drew Barry,Guard,"'6'5""",191,Georgia Tech,USA
Jon Barry,Guard,"'6'5""",210,Georgia Tech,USA
Rick Barry,Forward,"'6'7""",205,Miami,USA
Ed Bartels,Forward,"'6'6""",195,North Carolina State,USA
Vic Bartolome,Center,"'7'0""",230,Oregon State,USA
Will Barton,Guard,"'6'5""",181,Memphis,USA
Eddie Basden,Guard,"'6'5""",215,North Carolina-Charlotte,USA
Jerry Baskerville,Forward,"'6'7""",190,Temple,USA
Brandon Bass,Forward,"'6'8""",250,Louisiana State,USA
Paris Bass,Forward,"'6'8""",200,Detroit Mercy,USA
Tim Bassett,Forward,"'6'8""",225,Georgia,USA
Charles Bassey,Center-Forward,"'6'10""",230,Western Kentucky,Nigeria
Maceo Baston,Forward,"'6'10""",230,Michigan,USA
Mengke Bateer,Center,"'6'11""",290,Beijing,China
Billyray Bates,Guard,"'6'4""",210,Kentucky State,USA
Emoni Bates,Forward,"'6'8""",170,Eastern Michigan,USA
Keita Bates-Diop,Forward,"'6'8""",229,Ohio State,USA
Esteban Batista,Forward-Center,"'6'10""",268,Trouville,Uruguay
Mike Batiste,,',,Arizona State,USA
Tony Battie,Center,"'6'11""",240,Texas Tech,USA
Shane Battier,Forward,"'6'8""",220,Duke,USA
John Battle,Guard,"'6'2""",175,Rutgers,USA
Kenny Battle,Guard,"'6'6""",210,Illinois,USA
Dave Batton,Center,"'6'10""",240,Notre Dame,USA
Nicolas Batum,Guard-Forward,"'6'8""",230,Le Mans,France
Johnny Baum,Forward,"'6'5""",200,Temple,USA
Frankie Baumholtz,Guard,"'5'10""",170,Ohio,USA
Lonny Baxter,Forward,"'6'8""",260,Maryland,USA
Jerryd Bayless,Guard,"'6'3""",200,Arizona,USA
Elgin Baylor,Forward,"'6'5""",225,Seattle,USA
Aron Baynes,Center-Forward,"'6'10""",260,Washington State,Australia
Sergei Bazarevich,Guard,"'6'2""",168,Tofas S.K.,Russia
Kent Bazemore,Guard-Forward,"'6'4""",195,Old Dominion,USA
Darius Bazley,Forward,"'6'9""",216,Princeton HS (OH),USA
Ed Beach,Forward,"'6'3""",200,West Virginia,USA
Bradley Beal,Guard,"'6'4""",207,Florida,USA
Butch Beard,Guard,"'6'3""",185,Louisville,USA
Ralph Beard,Guard,"'5'10""",175,Kentucky,USA
Jerome Beasley,Forward,"'6'9""",237,North Dakota,USA
Malik Beasley,Guard,"'6'4""",187,Florida State,USA
Michael Beasley,Forward,"'6'9""",235,Kansas State,USA
Zelmo Beaty,Center,"'6'9""",225,Prairie View A&M,USA
Rodrigue Beaubois,Guard,"'6'2""",185,Cholet,France
MarJon Beauchamp,Forward,"'6'7""",199,NBA G League Ignite,USA
Byron Beck,Center,"'6'9""",225,Denver,USA
Corey Beck,Guard,"'6'3""",200,Arkansas,USA
Ernie Beck,Guard,"'6'4""",190,Pennsylvania,USA
Moe Becker,Guard,"'6'1""",185,Duquesne,USA
William Bedford,Center,"'7'0""",225,Memphis,USA
Charles Bediako,,',,Alabama,Canada
Hank Beenders,Center,"'6'5""",185,Long Island-Brooklyn,USA
Ron Behagen,Forward,"'6'9""",185,Minnesota,USA
Elmer Behnke,Center,"'6'7""",210,Bradley,USA
Marco Belinelli,Guard,"'6'5""",220,Fortitudo Bologna,Italy
Charlie Bell,Guard,"'6'3""",200,Michigan State,USA
Dennis Bell,Forward,"'6'5""",185,Drake,USA
Jordan Bell,Forward,"'6'7""",216,Oregon,USA
Raja Bell,Guard,"'6'5""",210,Florida International,US Virgin Islands
Troy Bell,Guard,"'6'1""",180,Boston College,USA
William Bell,Guard,"'6'0""",180,North Carolina State,USA
Walt Bellamy,Center,"'6'10""",225,Indiana,USA
DeAndre' Bembry,Guard-Forward,"'6'5""",210,St. Joseph's (PA),USA
Irv Bemoras,Forward,"'6'3""",185,Illinois,USA
Leon Benbow,Guard,"'6'4""",185,Jacksonville,USA
Dragan Bender,Forward,"'7'0""",249,Maccabi Tel Aviv,Croatia
Jonathan Bender,Forward,"'7'0""",230,Picayune HS (MS),USA
Jerrelle Benimon,,',,Towson,USA
Benoit Benjamin,Center,"'7'0""",250,Creighton,USA
Corey Benjamin,Guard,"'6'6""",200,Oregon State,USA
Anthony Bennett,Forward,"'6'8""",235,UNLV,Canada
Elmer Bennett,Guard,"'6'0""",170,Notre Dame,USA
Mario Bennett,Center-Forward,"'6'9""",235,Arizona State,USA
Mel Bennett,Forward,"'6'7""",200,Pittsburgh,USA
Tony Bennett,Guard,"'6'0""",175,Wisconsin-Green Bay,USA
Winston Bennett,Guard,"'6'7""",210,Kentucky,USA
David Benoit,Forward,"'6'8""",220,Alabama,USA
Keith Benson,Forward-Center,"'6'11""",230,Oakland,USA
Kent Benson,Center,"'6'11""",235,Indiana,USA
Ben Bentil,Forward,"'6'9""",235,Providence,Ghana
Gene Berce,Guard,"'5'11""",175,Marquette,USA
Gary Bergen,Center,"'6'8""",210,Utah,USA
Ricky Berry,Forward,"'6'8""",205,San Jose State,USA
Walter Berry,Forward,"'6'8""",215,St. John's (NY),USA
Dairis Bertans,Guard,"'6'4""",200,Olimpia Milano,Latvia
Davis Bertans,Forward,"'6'10""",225,Baskonia,Latvia
Del Beshore,Guard,"'5'11""",165,California (PA),USA
Travis Best,Guard,"'5'11""",182,Georgia Tech,USA
Patrick Beverley,Guard,"'6'2""",180,Arkansas,USA
Saddiq Bey,Guard-Forward,"'6'7""",215,Villanova,USA
Tyler Bey,Forward,"'6'7""",215,Colorado,USA
Sim Bhullar,Center,"'7'5""",360,New Mexico State,Canada
Al Bianchi,Guard,"'6'3""",185,Bowling Green,USA
Hank Biasatti,Guard,"'5'11""",175,Assumption,Canada
Henry Bibby,Guard,"'6'1""",185,UCLA,USA
Mike Bibby,Guard,"'6'2""",195,Arizona,USA
Ed Biedenbach,Guard,"'6'1""",175,North Carolina State,USA
Andris Biedrins,Center,"'7'0""",250,BK Skonto,Latvia
Don Bielke,Center,"'6'7""",240,Valparaiso,USA
Bob Bigelow,Forward,"'6'7""",215,Pennsylvania,USA
Chauncey Billups,Guard,"'6'3""",210,Colorado,USA
Dave Bing,Guard,"'6'3""",180,Syracuse,USA
Joe Binion,Forward,"'6'8""",235,North Carolina A&T,USA
Khem Birch,Center,"'6'8""",233,UNLV,Canada
Jabari Bird,Guard,"'6'6""",198,California,USA
